Number of iterations:	 145	 Error:	 0.001350	 Elapsed Wtime:	       0.690248
Number of iterations:	 146	 Error:	 0.001341	 Elapsed Wtime:	       0.695024
Number of iterations:	 147	 Error:	 0.001338	 Elapsed Wtime:	       0.699847
Number of iterations:	 148	 Error:	 0.001327	 Elapsed Wtime:	       0.704621
Number of iterations:	 149	 Error:	 0.001325	 Elapsed Wtime:	       0.709403
Number of iterations:	 150	 Error:	 0.001313	 Elapsed Wtime:	       0.714244
Number of iterations:	 151	 Error:	 0.001312	 Elapsed Wtime:	       0.719019
Number of iterations:	 152	 Error:	 0.001300	 Elapsed Wtime:	       0.723842
Number of iterations:	 153	 Error:	 0.001299	 Elapsed Wtime:	       0.728668
Number of iterations:	 154	 Error:	 0.001288	 Elapsed Wtime:	       0.733446
Number of iterations:	 155	 Error:	 0.001287	 Elapsed Wtime:	       0.738272
Number of iterations:	 156	 Error:	 0.001277	 Elapsed Wtime:	       0.743045
Number of iterations:	 157	 Error:	 0.001274	 Elapsed Wtime:	       0.747879
Number of iterations:	 158	 Error:	 0.001265	 Elapsed Wtime:	       0.752650
Number of iterations:	 159	 Error:	 0.001261	 Elapsed Wtime:	       0.757419
Number of iterations:	 160	 Error:	 0.001254	 Elapsed Wtime:	       0.762249
Number of iterations:	 161	 Error:	 0.001249	 Elapsed Wtime:	       0.767023
Number of iterations:	 162	 Error:	 0.001243	 Elapsed Wtime:	       0.771852
Number of iterations:	 163	 Error:	 0.001237	 Elapsed Wtime:	       0.776634
Number of iterations:	 164	 Error:	 0.001232	 Elapsed Wtime:	       0.781407
Number of iterations:	 165	 Error:	 0.001226	 Elapsed Wtime:	       0.786232
Number of iterations:	 166	 Error:	 0.001221	 Elapsed Wtime:	       0.791009
Number of iterations:	 167	 Error:	 0.001214	 Elapsed Wtime:	       0.795835
Number of iterations:	 168	 Error:	 0.001210	 Elapsed Wtime:	       0.800605
Number of iterations:	 169	 Error:	 0.001203	 Elapsed Wtime:	       0.805378
Number of iterations:	 170	 Error:	 0.001199	 Elapsed Wtime:	       0.810201
Number of iterations:	 171	 Error:	 0.001192	 Elapsed Wtime:	       0.814970
Number of iterations:	 172	 Error:	 0.001189	 Elapsed Wtime:	       0.819788
Number of iterations:	 173	 Error:	 0.001182	 Elapsed Wtime:	       0.824558
Number of iterations:	 174	 Error:	 0.001178	 Elapsed Wtime:	       0.829329
Number of iterations:	 175	 Error:	 0.001171	 Elapsed Wtime:	       0.834148
Number of iterations:	 176	 Error:	 0.001168	 Elapsed Wtime:	       0.838925
Number of iterations:	 177	 Error:	 0.001161	 Elapsed Wtime:	       0.843744
Number of iterations:	 178	 Error:	 0.001157	 Elapsed Wtime:	       0.848512
Number of iterations:	 179	 Error:	 0.001151	 Elapsed Wtime:	       0.853285
Number of iterations:	 180	 Error:	 0.001147	 Elapsed Wtime:	       0.858107
Number of iterations:	 181	 Error:	 0.001141	 Elapsed Wtime:	       0.862886
Number of iterations:	 182	 Error:	 0.001137	 Elapsed Wtime:	       0.867717
Number of iterations:	 183	 Error:	 0.001132	 Elapsed Wtime:	       0.872488
Number of iterations:	 184	 Error:	 0.001127	 Elapsed Wtime:	       0.877260
Number of iterations:	 185	 Error:	 0.001122	 Elapsed Wtime:	       0.882078
Number of iterations:	 186	 Error:	 0.001118	 Elapsed Wtime:	       0.886851
Number of iterations:	 187	 Error:	 0.001113	 Elapsed Wtime:	       0.891621
Number of iterations:	 188	 Error:	 0.001108	 Elapsed Wtime:	       0.896439
Number of iterations:	 189	 Error:	 0.001103	 Elapsed Wtime:	       0.901220
Number of iterations:	 190	 Error:	 0.001099	 Elapsed Wtime:	       0.906031
Number of iterations:	 191	 Error:	 0.001094	 Elapsed Wtime:	       0.910805
Number of iterations:	 192	 Error:	 0.001089	 Elapsed Wtime:	       0.915578
Number of iterations:	 193	 Error:	 0.001085	 Elapsed Wtime:	       0.920394
Number of iterations:	 194	 Error:	 0.001080	 Elapsed Wtime:	       0.925169
Number of iterations:	 195	 Error:	 0.001076	 Elapsed Wtime:	       0.929994
Number of iterations:	 196	 Error:	 0.001071	 Elapsed Wtime:	       0.934770
Number of iterations:	 197	 Error:	 0.001067	 Elapsed Wtime:	       0.939540
Number of iterations:	 198	 Error:	 0.001063	 Elapsed Wtime:	       0.944364
Number of iterations:	 199	 Error:	 0.001059	 Elapsed Wtime:	       0.949144
Number of iterations:	 200	 Error:	 0.001054	 Elapsed Wtime:	       0.953966
Number of iterations:	 201	 Error:	 0.001050	 Elapsed Wtime:	       0.958738
Number of iterations:	 202	 Error:	 0.001046	 Elapsed Wtime:	       0.963505
Number of iterations:	 203	 Error:	 0.001042	 Elapsed Wtime:	       0.968323
Number of iterations:	 204	 Error:	 0.001037	 Elapsed Wtime:	       0.973082
Number of iterations:	 205	 Error:	 0.001033	 Elapsed Wtime:	       0.977901
Number of iterations:	 206	 Error:	 0.001029	 Elapsed Wtime:	       0.982722
Number of iterations:	 207	 Error:	 0.001025	 Elapsed Wtime:	       0.987492
Number of iterations:	 208	 Error:	 0.001021	 Elapsed Wtime:	       0.992310
Number of iterations:	 209	 Error:	 0.001017	 Elapsed Wtime:	       0.997086
Number of iterations:	 210	 Error:	 0.001013	 Elapsed Wtime:	       1.001902
Number of iterations:	 211	 Error:	 0.001009	 Elapsed Wtime:	       1.006675
Number of iterations:	 212	 Error:	 0.001005	 Elapsed Wtime:	       1.011445
Number of iterations:	 213	 Error:	 0.001001	 Elapsed Wtime:	       1.016265
Number of iterations:	 214	 Error:	 0.000997	 Elapsed Wtime:	       1.021052
Number of iterations:	 215	 Error:	 0.000994	 Elapsed Wtime:	       1.025873
Number of iterations:	 216	 Error:	 0.000990	 Elapsed Wtime:	       1.030643
Number of iterations:	 217	 Error:	 0.000987	 Elapsed Wtime:	       1.035409
Number of iterations:	 218	 Error:	 0.000983	 Elapsed Wtime:	       1.040237
Number of iterations:	 219	 Error:	 0.000980	 Elapsed Wtime:	       1.045007
Number of iterations:	 220	 Error:	 0.000976	 Elapsed Wtime:	       1.049832
Number of iterations:	 221	 Error:	 0.000972	 Elapsed Wtime:	       1.054610
Number of iterations:	 222	 Error:	 0.000968	 Elapsed Wtime:	       1.059379
Number of iterations:	 223	 Error:	 0.000965	 Elapsed Wtime:	       1.064199
Number of iterations:	 224	 Error:	 0.000962	 Elapsed Wtime:	       1.068970
Number of iterations:	 225	 Error:	 0.000958	 Elapsed Wtime:	       1.073793
Number of iterations:	 226	 Error:	 0.000955	 Elapsed Wtime:	       1.078546
Number of iterations:	 227	 Error:	 0.000951	 Elapsed Wtime:	       1.083319
Number of iterations:	 228	 Error:	 0.000948	 Elapsed Wtime:	       1.088101
Number of iterations:	 229	 Error:	 0.000944	 Elapsed Wtime:	       1.092842
Number of iterations:	 230	 Error:	 0.000941	 Elapsed Wtime:	       1.097555
Number of iterations:	 231	 Error:	 0.000938	 Elapsed Wtime:	       1.102261
Number of iterations:	 232	 Error:	 0.000934	 Elapsed Wtime:	       1.106974
Number of iterations:	 233	 Error:	 0.000931	 Elapsed Wtime:	       1.111684
Number of iterations:	 234	 Error:	 0.000928	 Elapsed Wtime:	       1.116391
Number of iterations:	 235	 Error:	 0.000925	 Elapsed Wtime:	       1.121103
Number of iterations:	 236	 Error:	 0.000921	 Elapsed Wtime:	       1.125812
Number of iterations:	 237	 Error:	 0.000918	 Elapsed Wtime:	       1.130521
Number of iterations:	 238	 Error:	 0.000915	 Elapsed Wtime:	       1.135228
Number of iterations:	 239	 Error:	 0.000912	 Elapsed Wtime:	       1.139937
Number of iterations:	 240	 Error:	 0.000909	 Elapsed Wtime:	       1.144651
Number of iterations:	 241	 Error:	 0.000906	 Elapsed Wtime:	       1.149357
Number of iterations:	 242	 Error:	 0.000903	 Elapsed Wtime:	       1.154068
Number of iterations:	 243	 Error:	 0.000900	 Elapsed Wtime:	       1.158777
Number of iterations:	 244	 Error:	 0.000897	 Elapsed Wtime:	       1.163487
Number of iterations:	 245	 Error:	 0.000894	 Elapsed Wtime:	       1.168200
Number of iterations:	 246	 Error:	 0.000891	 Elapsed Wtime:	       1.172910
Number of iterations:	 247	 Error:	 0.000888	 Elapsed Wtime:	       1.177629
Number of iterations:	 248	 Error:	 0.000885	 Elapsed Wtime:	       1.182335
Number of iterations:	 249	 Error:	 0.000882	 Elapsed Wtime:	       1.187045
Number of iterations:	 250	 Error:	 0.000879	 Elapsed Wtime:	       1.191757
Number of iterations:	 251	 Error:	 0.000876	 Elapsed Wtime:	       1.196464
Number of iterations:	 252	 Error:	 0.000873	 Elapsed Wtime:	       1.201176
Number of iterations:	 253	 Error:	 0.000870	 Elapsed Wtime:	       1.205886
Number of iterations:	 254	 Error:	 0.000868	 Elapsed Wtime:	       1.210595
Number of iterations:	 255	 Error:	 0.000865	 Elapsed Wtime:	       1.215305
Number of iterations:	 256	 Error:	 0.000862	 Elapsed Wtime:	       1.220016
Number of iterations:	 257	 Error:	 0.000859	 Elapsed Wtime:	       1.224728
Number of iterations:	 258	 Error:	 0.000857	 Elapsed Wtime:	       1.229438
Number of iterations:	 259	 Error:	 0.000854	 Elapsed Wtime:	       1.234148
Number of iterations:	 260	 Error:	 0.000851	 Elapsed Wtime:	       1.238861
Number of iterations:	 261	 Error:	 0.000849	 Elapsed Wtime:	       1.243571
Number of iterations:	 262	 Error:	 0.000846	 Elapsed Wtime:	       1.248280
Number of iterations:	 263	 Error:	 0.000843	 Elapsed Wtime:	       1.252991
