The overrelaxation coefficient (omega) passed from command line is	 1.950
The border exchange factor passed from command line is	 1
Number of iterations:	 193	 Error:	 0.001038	 Elapsed Wtime:	       0.063665
Number of iterations:	 194	 Error:	 0.001023	 Elapsed Wtime:	       0.063976
Number of iterations:	 195	 Error:	 0.001010	 Elapsed Wtime:	       0.064309
Number of iterations:	 196	 Error:	 0.000996	 Elapsed Wtime:	       0.064621
Number of iterations:	 197	 Error:	 0.000980	 Elapsed Wtime:	       0.064931
Number of iterations:	 198	 Error:	 0.000962	 Elapsed Wtime:	       0.065246
Number of iterations:	 199	 Error:	 0.000950	 Elapsed Wtime:	       0.065581
Number of iterations:	 200	 Error:	 0.000934	 Elapsed Wtime:	       0.065892
Number of iterations:	 201	 Error:	 0.000919	 Elapsed Wtime:	       0.066216
Number of iterations:	 202	 Error:	 0.000908	 Elapsed Wtime:	       0.066555
Number of iterations:	 203	 Error:	 0.000894	 Elapsed Wtime:	       0.066867
Number of iterations:	 204	 Error:	 0.000880	 Elapsed Wtime:	       0.067303
Number of iterations:	 205	 Error:	 0.000868	 Elapsed Wtime:	       0.067749
Number of iterations:	 206	 Error:	 0.000853	 Elapsed Wtime:	       0.068204
Number of iterations:	 207	 Error:	 0.000840	 Elapsed Wtime:	       0.068575
Number of iterations:	 208	 Error:	 0.000829	 Elapsed Wtime:	       0.068885
Number of iterations:	 209	 Error:	 0.000817	 Elapsed Wtime:	       0.069198
Number of iterations:	 210	 Error:	 0.000804	 Elapsed Wtime:	       0.069535
Number of iterations:	 211	 Error:	 0.000791	 Elapsed Wtime:	       0.069844
Number of iterations:	 212	 Error:	 0.000779	 Elapsed Wtime:	       0.070157
Number of iterations:	 213	 Error:	 0.000769	 Elapsed Wtime:	       0.070493
Number of iterations:	 214	 Error:	 0.000758	 Elapsed Wtime:	       0.070806
Number of iterations:	 215	 Error:	 0.000747	 Elapsed Wtime:	       0.071115
Number of iterations:	 216	 Error:	 0.000736	 Elapsed Wtime:	       0.071455
Number of iterations:	 217	 Error:	 0.000724	 Elapsed Wtime:	       0.071764
Number of iterations:	 218	 Error:	 0.000713	 Elapsed Wtime:	       0.072071
Number of iterations:	 219	 Error:	 0.000703	 Elapsed Wtime:	       0.072406
Number of iterations:	 220	 Error:	 0.000692	 Elapsed Wtime:	       0.072715
Number of iterations:	 221	 Error:	 0.000682	 Elapsed Wtime:	       0.073023
Number of iterations:	 222	 Error:	 0.000673	 Elapsed Wtime:	       0.073358
Number of iterations:	 223	 Error:	 0.000663	 Elapsed Wtime:	       0.073666
Number of iterations:	 224	 Error:	 0.000652	 Elapsed Wtime:	       0.073972
Number of iterations:	 225	 Error:	 0.000643	 Elapsed Wtime:	       0.074308
Number of iterations:	 226	 Error:	 0.000633	 Elapsed Wtime:	       0.074615
Number of iterations:	 227	 Error:	 0.000623	 Elapsed Wtime:	       0.074921
Number of iterations:	 228	 Error:	 0.000614	 Elapsed Wtime:	       0.075233
Number of iterations:	 229	 Error:	 0.000605	 Elapsed Wtime:	       0.075569
Number of iterations:	 230	 Error:	 0.000596	 Elapsed Wtime:	       0.075877
Number of iterations:	 231	 Error:	 0.000588	 Elapsed Wtime:	       0.076190
Number of iterations:	 232	 Error:	 0.000579	 Elapsed Wtime:	       0.076531
Number of iterations:	 233	 Error:	 0.000571	 Elapsed Wtime:	       0.076837
Number of iterations:	 234	 Error:	 0.000562	 Elapsed Wtime:	       0.077147
Number of iterations:	 235	 Error:	 0.000554	 Elapsed Wtime:	       0.077494
Number of iterations:	 236	 Error:	 0.000546	 Elapsed Wtime:	       0.077801
Number of iterations:	 237	 Error:	 0.000538	 Elapsed Wtime:	       0.078107
Number of iterations:	 238	 Error:	 0.000530	 Elapsed Wtime:	       0.078446
Number of iterations:	 239	 Error:	 0.000522	 Elapsed Wtime:	       0.078752
Number of iterations:	 240	 Error:	 0.000514	 Elapsed Wtime:	       0.079059
Number of iterations:	 241	 Error:	 0.000506	 Elapsed Wtime:	       0.079399
Number of iterations:	 242	 Error:	 0.000499	 Elapsed Wtime:	       0.079705
